
************************************************
Report:               average power
Design:               evlpMultiplier
Library File(s):      /home/cad/TSMC/13/synopsys/slow.db
Simulation period[1]: 0 ns - 127701 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Mon Jul 23 16:14:28 2007
************************************************

operating_condition_max_name: slow Library: slow

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier TSMC13_Conservative slow library default
hot_B_bit_ff       evMS_FlipFlop TSMC13_Conservative slow library default
feeder_reg/ff_0    evMS_Rstbl_FlipFlop_62 TSMC13_Conservative slow library default
feeder_reg/ff_1    evMS_Rstbl_FlipFlop_61 TSMC13_Conservative slow library default
feeder_reg/ff_2    evMS_Rstbl_FlipFlop_60 TSMC13_Conservative slow library default
feeder_reg/ff_3    evMS_Rstbl_FlipFlop_59 TSMC13_Conservative slow library default
feeder_reg/ff_4    evMS_Rstbl_FlipFlop_58 TSMC13_Conservative slow library default
feeder_reg/ff_5    evMS_Rstbl_FlipFlop_57 TSMC13_Conservative slow library default
feeder_reg/ff_6    evMS_Rstbl_FlipFlop_56 TSMC13_Conservative slow library default
feeder_reg/ff_7    evMS_Rstbl_FlipFlop_55 TSMC13_Conservative slow library default
feeder_reg/ff_8    evMS_Rstbl_FlipFlop_54 TSMC13_Conservative slow library default
feeder_reg/ff_9    evMS_Rstbl_FlipFlop_53 TSMC13_Conservative slow library default
feeder_reg/ff_10   evMS_Rstbl_FlipFlop_52 TSMC13_Conservative slow library default
feeder_reg/ff_11   evMS_Rstbl_FlipFlop_51 TSMC13_Conservative slow library default
feeder_reg/ff_12   evMS_Rstbl_FlipFlop_50 TSMC13_Conservative slow library default
feeder_reg/ff_13   evMS_Rstbl_FlipFlop_49 TSMC13_Conservative slow library default
feeder_reg/ff_14   evMS_Rstbl_FlipFlop_48 TSMC13_Conservative slow library default
feeder_reg/ff_15   evMS_Rstbl_FlipFlop_47 TSMC13_Conservative slow library default
feeder_reg/ff_16   evMS_Rstbl_FlipFlop_46 TSMC13_Conservative slow library default
feeder_reg/ff_17   evMS_Rstbl_FlipFlop_45 TSMC13_Conservative slow library default
feeder_reg/ff_18   evMS_Rstbl_FlipFlop_44 TSMC13_Conservative slow library default
feeder_reg/ff_19   evMS_Rstbl_FlipFlop_43 TSMC13_Conservative slow library default
feeder_reg/ff_20   evMS_Rstbl_FlipFlop_42 TSMC13_Conservative slow library default
feeder_reg/ff_21   evMS_Rstbl_FlipFlop_41 TSMC13_Conservative slow library default
feeder_reg/ff_22   evMS_Rstbl_FlipFlop_40 TSMC13_Conservative slow library default
feeder_reg/ff_23   evMS_Rstbl_FlipFlop_39 TSMC13_Conservative slow library default
feeder_reg/ff_24   evMS_Rstbl_FlipFlop_38 TSMC13_Conservative slow library default
feeder_reg/ff_25   evMS_Rstbl_FlipFlop_37 TSMC13_Conservative slow library default
feeder_reg/ff_26   evMS_Rstbl_FlipFlop_36 TSMC13_Conservative slow library default
feeder_reg/ff_27   evMS_Rstbl_FlipFlop_35 TSMC13_Conservative slow library default
feeder_reg/ff_28   evMS_Rstbl_FlipFlop_34 TSMC13_Conservative slow library default
feeder_reg/ff_29   evMS_Rstbl_FlipFlop_33 TSMC13_Conservative slow library default
